,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Error
0,Ship Mode,Segment,CorrelationSimilarity,0.9962055541176492,0.003061879492728099,-0.004527012271973495,
1,Ship Mode,Country,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
2,Ship Mode,State,CorrelationSimilarity,0.970919807758746,0.07002552174697019,0.01186513726446224,
3,Ship Mode,Postal Code,CorrelationSimilarity,0.9540333550398072,-0.0947979077705568,-0.002864617850171213,
4,Ship Mode,Region,CorrelationSimilarity,0.967392881939071,-0.08902291340344201,-0.023808677281584003,
5,Ship Mode,Category,CorrelationSimilarity,0.9565885242051847,0.08269357166964393,-0.004129379919986737,
6,Ship Mode,Sub-Category,CorrelationSimilarity,0.9977265672584135,-0.007821527679024476,-0.0032746621958514195,
7,Ship Mode,Sales,CorrelationSimilarity,0.997581763272727,0.009401004179437565,0.004564530724891455,
8,Ship Mode,Quantity,CorrelationSimilarity,0.9859316859969077,-0.0066307749818379945,0.021505853024346572,
9,Ship Mode,Discount,CorrelationSimilarity,0.982695252778086,0.034773536080513395,0.00016404163668547813,
10,Ship Mode,Profit,CorrelationSimilarity,0.9978431532971498,-0.0037911028194155248,-0.008104796225115984,
11,Segment,Country,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
12,Segment,State,CorrelationSimilarity,0.974954198139589,-0.05265894606402614,-0.002567342343204075,
13,Segment,Postal Code,CorrelationSimilarity,0.960112999372546,0.07764234772537307,-0.002131653529534889,
14,Segment,Region,CorrelationSimilarity,0.9715880498509899,0.05126385336986317,-0.005560046928157104,
15,Segment,Category,CorrelationSimilarity,0.9785639277772102,-0.032749609649850686,0.010122534795728888,
16,Segment,Sub-Category,CorrelationSimilarity,0.9981461428718638,0.007235351447978517,0.010943065704250939,
17,Segment,Sales,CorrelationSimilarity,0.9968975646888647,0.003376268144822937,0.009581138767093494,
18,Segment,Quantity,CorrelationSimilarity,0.9997507414792819,0.009975968120079438,0.00947745107864333,
19,Segment,Discount,CorrelationSimilarity,0.9829186529313994,-0.04997874863895286,-0.015816054501751445,
20,Segment,Profit,CorrelationSimilarity,0.9877524534212322,-0.01012188188741659,0.014373211270119032,
21,Country,State,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
