,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Error
0,Ship Mode,Segment,CorrelationSimilarity,0.9929785768987341,0.009515833930558265,-0.004527012271973495,
1,Ship Mode,Country,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
2,Ship Mode,State,CorrelationSimilarity,0.9836610828059735,0.044542971652515105,0.01186513726446224,
3,Ship Mode,Postal Code,CorrelationSimilarity,0.9977969667087686,0.0015414487322915164,-0.002864617850171213,
4,Ship Mode,Region,CorrelationSimilarity,0.9724733280795959,0.03124466655922417,-0.023808677281584003,
5,Ship Mode,Category,CorrelationSimilarity,0.9998084172205765,-0.0037462143611395834,-0.004129379919986737,
6,Ship Mode,Sub-Category,CorrelationSimilarity,0.9901463233442002,-0.022982015507451093,-0.0032746621958514195,
7,Ship Mode,Sales,CorrelationSimilarity,0.9861617471626761,0.03224103639953919,0.004564530724891455,
8,Ship Mode,Quantity,CorrelationSimilarity,0.9731247333810913,-0.03224468021347086,0.021505853024346572,
9,Ship Mode,Discount,CorrelationSimilarity,0.9620310740921121,-0.07577381017909045,0.00016404163668547813,
10,Ship Mode,Profit,CorrelationSimilarity,0.9871533417421979,0.01758852029048805,-0.008104796225115984,
11,Segment,Country,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
12,Segment,State,CorrelationSimilarity,0.929102937729023,0.13922678219874987,-0.002567342343204075,
13,Segment,Postal Code,CorrelationSimilarity,0.9878375930204472,-0.026456467488640518,-0.002131653529534889,
14,Segment,Region,CorrelationSimilarity,0.9582178258147971,-0.08912439529856302,-0.005560046928157104,
15,Segment,Category,CorrelationSimilarity,0.9921966061854846,0.02572932242475969,0.010122534795728888,
16,Segment,Sub-Category,CorrelationSimilarity,0.9944788815610259,-9.917117369718774e-05,0.010943065704250939,
17,Segment,Sales,CorrelationSimilarity,0.9928946995362703,0.023791739694552803,0.009581138767093494,
18,Segment,Quantity,CorrelationSimilarity,0.9607798090424294,0.08791783299378446,0.00947745107864333,
19,Segment,Discount,CorrelationSimilarity,0.9393940433620082,0.10539585877423222,-0.015816054501751445,
20,Segment,Profit,CorrelationSimilarity,0.9905506879083907,-0.004525412913099503,0.014373211270119032,
21,Country,State,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
22,Country,Postal Code,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
23,Country,Region,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
24,Country,Category,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'Country' contains a constant value. Correlation is undefined for constant data.
