,Column,Metric,Score
0,Ship Mode,KSComplement,0.6964178507104263
1,Segment,KSComplement,0.8603161897138283
2,Country,KSComplement,1.0
3,State,KSComplement,0.9102461476886132
4,Postal Code,KSComplement,0.8939363618170902
5,Region,KSComplement,0.9582749649789873
6,Category,KSComplement,0.8447068240944566
7,Sub-Category,KSComplement,0.8113868320992595
8,Sales,KSComplement,0.8956373824294577
9,Quantity,KSComplement,0.803281969181509
10,Discount,KSComplement,0.8075845507304382
11,Profit,KSComplement,0.9972983790274165
