,Column,Metric,Score
0,cap-shape,KSComplement,0.7646479566715904
1,cap-surface,KSComplement,0.9183899556868538
2,cap-color,KSComplement,0.8292712949286066
3,bruises,KSComplement,0.9235598227474151
4,odor,KSComplement,0.7640324963072378
5,gill-attachment,KSComplement,0.9316838995568686
6,gill-spacing,KSComplement,0.8913096996553422
7,gill-size,KSComplement,0.8268094534711965
8,gill-color,KSComplement,0.8989414081733136
9,stalk-shape,KSComplement,0.733259478089611
10,stalk-root,KSComplement,0.7860659773510585
11,stalk-surface-above-ring,KSComplement,0.7774495322501231
12,stalk-surface-below-ring,KSComplement,0.7454455933037912
13,stalk-color-above-ring,KSComplement,0.7708025603151157
14,stalk-color-below-ring,KSComplement,0.62863121614968
15,veil-type,KSComplement,1.0
16,veil-color,KSComplement,0.9370999507631709
17,ring-number,KSComplement,0.8903249630723782
18,ring-type,KSComplement,0.8273018217626785
19,spore-print-color,KSComplement,0.8968488429345151
20,population,KSComplement,0.7556622353520434
21,habitat,KSComplement,0.8093303791235844
22,class,KSComplement,0.9972919743968488
