,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation
0,person_age,person_income,CorrelationSimilarity,0.9434760254847245,0.0050990609694682625,0.11814701000001916
1,person_age,person_home_ownership,CorrelationSimilarity,0.9820302638913243,0.000714209445937633,-0.035225262771413704
2,person_age,person_emp_length,CorrelationSimilarity,0.9248881036107873,-0.002932287048534412,0.1472915057298909
3,person_age,loan_intent,CorrelationSimilarity,0.9914701393527209,0.018141969180230803,0.0352016904747891
4,person_age,loan_grade,CorrelationSimilarity,0.9632823741915706,-0.060182401072294056,0.013252850544564817
5,person_age,loan_amnt,CorrelationSimilarity,0.9748064927250378,0.0032265872951236455,0.05361360184504804
6,person_age,loan_int_rate,CorrelationSimilarity,0.9783511456306079,-0.033191284044029,0.010106424694755263
7,person_age,loan_percent_income,CorrelationSimilarity,0.9995985765565961,-0.03651582828273393,-0.03571298139592623
8,person_age,cb_person_default_on_file,CorrelationSimilarity,0.9926298350113001,-0.0070200098443135225,0.007720320133086356
9,person_age,cb_person_cred_hist_length,CorrelationSimilarity,0.579321549817946,0.004137252500076254,0.8454941528641841
10,person_age,loan_status,CorrelationSimilarity,0.9481586332060461,-0.12611937808850832,-0.0224366445006006
11,person_income,person_home_ownership,CorrelationSimilarity,0.8385943721090674,0.0006856761707594817,-0.3221255796111056
12,person_income,person_emp_length,CorrelationSimilarity,0.9014883441892294,-0.0002693177785665266,0.1967539938429747
13,person_income,loan_intent,CorrelationSimilarity,0.9839549211881251,0.028539870429280172,-0.003550287194469599
14,person_income,loan_grade,CorrelationSimilarity,0.980590064593078,-0.06042299978136551,-0.021603128967521534
15,person_income,loan_amnt,CorrelationSimilarity,0.798163496369969,-0.00034058132632523843,0.40333242593373686
16,person_income,loan_int_rate,CorrelationSimilarity,0.9994569282237262,-0.025188784304722864,-0.02410264075217542
17,person_income,loan_percent_income,CorrelationSimilarity,0.8488504555329439,-0.05148927584601619,-0.3537883647801284
18,person_income,cb_person_default_on_file,CorrelationSimilarity,0.9938084491123761,-0.0036193094611877653,-0.01600241123643555
19,person_income,cb_person_cred_hist_length,CorrelationSimilarity,0.9482580368950698,-0.005899132833881257,0.09758479337597913
20,person_income,loan_status,CorrelationSimilarity,0.9469131577333958,-0.13506784697948454,-0.24124153151269306
21,person_home_ownership,person_emp_length,CorrelationSimilarity,0.875944928974108,0.008887197461451817,-0.2392229445903322
22,person_home_ownership,loan_intent,CorrelationSimilarity,0.9942718556836353,-0.0009167914612214872,0.0105394971715079
23,person_home_ownership,loan_grade,CorrelationSimilarity,0.941285792257368,-0.0005215328839997774,0.11690688260126422
24,person_home_ownership,loan_amnt,CorrelationSimilarity,0.9340132753653289,0.002965929006071712,-0.12900752026327061
25,person_home_ownership,loan_int_rate,CorrelationSimilarity,0.9356203568916434,0.0011478259813655408,0.12990711219807877
26,person_home_ownership,loan_percent_income,CorrelationSimilarity,0.929997249540364,-0.0016425891380828454,0.1383629117811891
27,person_home_ownership,cb_person_default_on_file,CorrelationSimilarity,0.9689146949021218,0.0003309414603097874,0.06250155165606629
28,person_home_ownership,cb_person_cred_hist_length,CorrelationSimilarity,0.9890402854207528,-0.0019512461406705648,-0.02387067529916495
29,person_home_ownership,loan_status,CorrelationSimilarity,0.8982472522641423,0.0050262530398338025,0.20853174851154932
30,person_emp_length,loan_intent,CorrelationSimilarity,0.9884798865601023,-0.009007201890640663,0.014033024989154607
31,person_emp_length,loan_grade,CorrelationSimilarity,0.9684723851722694,0.009999495293323567,-0.053055734362137515
32,person_emp_length,loan_amnt,CorrelationSimilarity,0.9495716790868539,0.004512850874235464,0.10536949270052753
33,person_emp_length,loan_int_rate,CorrelationSimilarity,0.9694245384333953,0.006006567633432664,-0.05514435549977677
34,person_emp_length,loan_percent_income,CorrelationSimilarity,0.9664096458686633,0.011561042547010663,-0.05561966571566282
35,person_emp_length,cb_person_default_on_file,CorrelationSimilarity,0.9873287119103226,-0.0028544935145954783,-0.028197069693950336
36,person_emp_length,cb_person_cred_hist_length,CorrelationSimilarity,0.9322573507273455,-0.0028160653494591443,0.1326692331958498
37,person_emp_length,loan_status,CorrelationSimilarity,0.9483219104499161,0.014882365915202535,-0.08847381318496524
38,loan_intent,loan_grade,CorrelationSimilarity,0.9704774012713453,-0.0635741801045136,-0.004528982647204109
39,loan_intent,loan_amnt,CorrelationSimilarity,0.9985805018729634,-3.5121161004641414e-05,-0.0028741174150778356
40,loan_intent,loan_int_rate,CorrelationSimilarity,0.9886195779239062,-0.026153850740210854,-0.0033930065880232365
41,loan_intent,loan_percent_income,CorrelationSimilarity,0.9809087057744195,-0.037980507300612545,0.00020208115054857622
42,loan_intent,cb_person_default_on_file,CorrelationSimilarity,0.9986484837969435,0.0002587074974855512,-0.00244432490862752
43,loan_intent,cb_person_cred_hist_length,CorrelationSimilarity,0.9770930710856484,-0.008078185512764412,0.03773567231593891
44,loan_intent,loan_status,CorrelationSimilarity,0.9771481627000819,-0.1103315173366594,-0.06462784273682315
45,loan_grade,loan_amnt,CorrelationSimilarity,0.9243517488024708,0.0007745280841477569,0.15207103047920612
46,loan_grade,loan_int_rate,CorrelationSimilarity,0.5886911885040846,0.11319975127669134,0.9358173742685222
47,loan_grade,loan_percent_income,CorrelationSimilarity,0.9646908101317924,0.19467370186655397,0.12405532213013876
48,loan_grade,cb_person_default_on_file,CorrelationSimilarity,0.7334317899998734,0.002696207345215561,0.5358326273454689
49,loan_grade,cb_person_cred_hist_length,CorrelationSimilarity,0.9964515598254199,0.00806442137568644,0.01516130172484674
