,Column 1,Column 2,Metric,Score,Real Correlation,Synthetic Correlation,Error
0,cap-shape,cap-surface,CorrelationSimilarity,0.9460180808635865,0.05751018057110267,-0.05045365770172432,
1,cap-shape,cap-color,CorrelationSimilarity,0.9578557739975129,0.036085613804523936,-0.048202838200450335,
2,cap-shape,bruises,CorrelationSimilarity,0.9704535564605746,-0.09446701800906465,-0.03537413093021387,
3,cap-shape,odor,CorrelationSimilarity,0.9720182761070528,0.034028198157862725,-0.02193524962803171,
4,cap-shape,gill-attachment,CorrelationSimilarity,0.9701319085543062,0.019128884156415154,0.07886506704780277,
5,cap-shape,gill-spacing,CorrelationSimilarity,0.9539836563472016,0.10522873550588345,0.013196048200286673,
6,cap-shape,gill-size,CorrelationSimilarity,0.9814467120638308,0.016943717430588486,0.05405029330292676,
7,cap-shape,gill-color,CorrelationSimilarity,0.9766543227613751,-0.052730117703568995,-0.006038763226319081,
8,cap-shape,stalk-shape,CorrelationSimilarity,0.9675574181131743,-0.0010909475936713765,0.06379421617997998,
9,cap-shape,stalk-root,CorrelationSimilarity,0.9937182237319562,0.01762750289401931,0.030191055430106986,
10,cap-shape,stalk-surface-above-ring,CorrelationSimilarity,0.9870040054936599,-0.05640915882719166,-0.030417169814511362,
11,cap-shape,stalk-surface-below-ring,CorrelationSimilarity,0.9847817122386365,-0.06302767994071468,-0.03259110441798784,
12,cap-shape,stalk-color-above-ring,CorrelationSimilarity,0.972242367463052,0.023855970797026754,-0.03165929427686915,
13,cap-shape,stalk-color-below-ring,CorrelationSimilarity,0.9659501523323578,0.037709877626807595,-0.03038981770847676,
14,cap-shape,veil-type,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'veil-type' contains a constant value. Correlation is undefined for constant data.
15,cap-shape,veil-color,CorrelationSimilarity,0.9723762747180882,0.017313016435622594,0.07256046699944634,
16,cap-shape,ring-number,CorrelationSimilarity,0.946629679723341,0.00020684091452146048,-0.10653379963879663,
17,cap-shape,ring-type,CorrelationSimilarity,0.9785859992675663,-0.06828459140403903,-0.025456589939171506,
18,cap-shape,spore-print-color,CorrelationSimilarity,0.9583862079361873,0.009812045956424573,-0.07341553817120075,
19,cap-shape,population,CorrelationSimilarity,0.950040571584521,-0.03650570634767517,0.06341315048328272,
20,cap-shape,habitat,CorrelationSimilarity,0.9762043755343565,0.005370340546288341,-0.04222090838499863,
21,cap-shape,class,CorrelationSimilarity,0.9843059601475087,0.02156248472938082,0.052950564434363315,
22,cap-surface,cap-color,CorrelationSimilarity,0.8904920769809163,0.19961413340264084,-0.019401712635526605,
23,cap-surface,bruises,CorrelationSimilarity,0.8960152915788676,-0.13774099519042324,0.07022842165184157,
24,cap-surface,odor,CorrelationSimilarity,0.9346173203327262,-0.08553205609913724,0.045233303235410506,
25,cap-surface,gill-attachment,CorrelationSimilarity,0.9825748679463191,-0.06903015358911077,-0.034179889481749014,
26,cap-surface,gill-spacing,CorrelationSimilarity,0.9218364398456735,-0.12597866679664654,-0.2823057871052996,
27,cap-surface,gill-size,CorrelationSimilarity,0.9497695656548979,0.30856070933446383,0.20809984064425951,
28,cap-surface,gill-color,CorrelationSimilarity,0.9798523029133455,-0.20131289003533887,-0.1610174958620299,
29,cap-surface,stalk-shape,CorrelationSimilarity,0.8500083891940021,-0.3141058472381718,-0.01412262562617612,
30,cap-surface,stalk-root,CorrelationSimilarity,0.987030248883418,-0.1521840081777615,-0.12624450594459752,
31,cap-surface,stalk-surface-above-ring,CorrelationSimilarity,0.9645921189031358,0.018274575504595696,0.0890903376983242,
32,cap-surface,stalk-surface-below-ring,CorrelationSimilarity,0.9541072952675937,0.01617909980467895,0.10796450926949135,
33,cap-surface,stalk-color-above-ring,CorrelationSimilarity,0.9993044686042235,0.06744134312891906,0.06605028033736614,
34,cap-surface,stalk-color-below-ring,CorrelationSimilarity,0.982764551545691,0.1033557955015595,0.06888489859294145,
35,cap-surface,veil-type,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'veil-type' contains a constant value. Correlation is undefined for constant data.
36,cap-surface,veil-color,CorrelationSimilarity,0.9741443136770439,-0.06831478819866282,-0.016603415552750543,
37,cap-surface,ring-number,CorrelationSimilarity,0.9082973382711055,0.15725819190123566,-0.026147131556553464,
38,cap-surface,ring-type,CorrelationSimilarity,0.9958575375354554,-0.09812202113679615,-0.10640694606588551,
39,cap-surface,spore-print-color,CorrelationSimilarity,0.9699742436308589,0.2904155662955443,0.2303640535572622,
40,cap-surface,population,CorrelationSimilarity,0.9260654767596352,-0.12631391886156337,0.02155512761916619,
41,cap-surface,habitat,CorrelationSimilarity,0.9137711505514563,0.33634434688130377,0.16388664798421648,
42,cap-surface,class,CorrelationSimilarity,0.929924445207513,0.3185972355466564,0.1784461259616825,
43,cap-color,bruises,CorrelationSimilarity,0.9522891060310699,0.0946573386984789,-0.0007644492393814355,
44,cap-color,odor,CorrelationSimilarity,0.9993593280074122,-0.3858396014896545,-0.38712094547483017,
45,cap-color,gill-attachment,CorrelationSimilarity,0.9604154099092194,-0.03773359203643176,0.04143558814512954,
46,cap-color,gill-spacing,CorrelationSimilarity,0.9361229459162396,0.016504864777585514,0.14425897294510645,
47,cap-color,gill-size,CorrelationSimilarity,0.9563776335630505,-0.2567090176626125,-0.1694642847887136,
48,cap-color,gill-color,CorrelationSimilarity,0.986924997141566,0.11080908828785686,0.08465908257098886,
49,cap-color,stalk-shape,CorrelationSimilarity,0.9928268289681705,-0.4421496929067976,-0.45649603497045643,
50,cap-color,stalk-root,CorrelationSimilarity,0.9587960085354457,0.23886587996372743,0.321273862892836,
51,cap-color,stalk-surface-above-ring,CorrelationSimilarity,0.9705734480509028,-0.001983960838954762,-0.06083706473714897,
52,cap-color,stalk-surface-below-ring,CorrelationSimilarity,0.9729108764450851,0.0064680333018391194,-0.04771021380799076,
53,cap-color,stalk-color-above-ring,CorrelationSimilarity,0.9795320393298275,-0.038571706419160606,0.002364214921184415,
54,cap-color,stalk-color-below-ring,CorrelationSimilarity,0.9910242486426618,-0.00989409487510526,0.008057407839571224,
55,cap-color,veil-type,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'veil-type' contains a constant value. Correlation is undefined for constant data.
56,cap-color,veil-color,CorrelationSimilarity,0.9663332403657,-0.031203993750993433,0.036129525517606585,
57,cap-color,ring-number,CorrelationSimilarity,0.9767314527844767,0.04071461227451301,-0.005822482156533505,
58,cap-color,ring-type,CorrelationSimilarity,0.9786894874946296,0.20513372064387167,0.16251269563313087,
59,cap-color,spore-print-color,CorrelationSimilarity,0.9684078232787191,-0.23033835109174555,-0.29352270453430734,
60,cap-color,population,CorrelationSimilarity,0.9883173618543393,-0.16813486203625105,-0.1447695857449297,
61,cap-color,habitat,CorrelationSimilarity,0.9080557696134182,0.217813697718608,0.033925236945444394,
62,cap-color,class,CorrelationSimilarity,0.9990751520524552,-0.02953439096704252,-0.03138408686213198,
63,bruises,odor,CorrelationSimilarity,0.991724450467639,-0.0452741084120908,-0.06182520747681287,
64,bruises,gill-attachment,CorrelationSimilarity,0.914078932311928,-0.034483019041486415,0.13735911633465742,
65,bruises,gill-spacing,CorrelationSimilarity,0.9834615122640101,-0.26639597126513226,-0.29947294673711206,
66,bruises,gill-size,CorrelationSimilarity,0.9771455590439146,-0.32388690227712785,-0.36959578418929845,
67,bruises,gill-color,CorrelationSimilarity,0.9803406482073997,0.48780084344893027,0.5271195470341308,
68,bruises,stalk-shape,CorrelationSimilarity,0.9530539554747293,0.005472133030810627,0.09936422208135212,
69,bruises,stalk-root,CorrelationSimilarity,0.9304470806576491,0.10508240140384836,0.24418824008855006,
70,bruises,stalk-surface-above-ring,CorrelationSimilarity,0.9599733472122177,0.5408771755277668,0.46082386995220226,
71,bruises,stalk-surface-below-ring,CorrelationSimilarity,0.9858257359385081,0.48733136006262845,0.4589828319396446,
72,bruises,stalk-color-above-ring,CorrelationSimilarity,0.9964059661915101,0.07634989508855253,0.08353796270553238,
73,bruises,stalk-color-below-ring,CorrelationSimilarity,0.9992184048863381,0.09131045920038244,0.09287364942770635,
74,bruises,veil-type,CorrelationSimilarity,,,,ConstantInputError: The real data in column 'veil-type' contains a constant value. Correlation is undefined for constant data.
