Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9654827413706853
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.9269634817408704
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9289644822411206
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9137569832402235
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8404329608938548
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.846717877094972
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7988826815642458
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9664832416208105
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.8659329664832416
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.9304652326163082
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9149790502793296
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8500349162011173
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8547486033519553
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8135474860335196
