Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.9044522261130565
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9319659829914958
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,accuracy,<bound method QualityReport.get_score of <sdmetrics.reports.single_table.quality_report.QualityReport object at 0x00000222F2525870>>
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9163756983240223
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.840782122905028
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8331005586592178
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7964385474860335
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,accuracy,<bound method QualityReport.get_score of <sdmetrics.reports.single_table.quality_report.QualityReport object at 0x000002228BD81780>>
