Event,Model,Epochs,K,Dataset,Test,Metric,Value
sdv_eval,GANBLR,50,1,credit_risk,sdv_eval,accuracy,0.8151005315854347
trtr,GANBLR,100,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,100,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,0,superstore,adaboost,accuracy,0.8184092046023012
tstr,GANBLR,100,0,superstore,random_forest,accuracy,0.9564782391195598
tstr,GANBLR,100,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,100,0,superstore,sdv_eval,accuracy,0.883255948663314
trtr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.9141061452513967
trtr,GANBLR,100,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,0,credit_risk,adaboost,accuracy,0.7987081005586593
tstr,GANBLR,100,0,credit_risk,random_forest,accuracy,0.7957402234636871
tstr,GANBLR,100,0,credit_risk,svm,accuracy,0.8224511173184358
sdv_eval,GANBLR,100,0,credit_risk,sdv_eval,accuracy,0.7543772476608398
trtr,GANBLR,100,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,100,1,superstore,random_forest,accuracy,0.9649824912456229
trtr,GANBLR,100,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,100,1,superstore,adaboost,accuracy,0.9369684842421211
tstr,GANBLR,100,1,superstore,random_forest,accuracy,0.9254627313656828
tstr,GANBLR,100,1,superstore,svm,accuracy,0.9309654827413707
sdv_eval,GANBLR,100,1,superstore,sdv_eval,accuracy,0.9147259073217637
trtr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.9146298882681564
trtr,GANBLR,100,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,100,1,credit_risk,adaboost,accuracy,0.7325418994413407
tstr,GANBLR,100,1,credit_risk,random_forest,accuracy,0.8421787709497207
tstr,GANBLR,100,1,credit_risk,svm,accuracy,0.8184357541899442
sdv_eval,GANBLR,100,1,credit_risk,sdv_eval,accuracy,0.7778403822169826
trtr,GANBLR,150,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,150,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,150,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,0,superstore,adaboost,accuracy,0.9394697348674337
tstr,GANBLR,150,0,superstore,random_forest,accuracy,0.9499749874937469
tstr,GANBLR,150,0,superstore,svm,accuracy,0.9294647323661831
sdv_eval,GANBLR,150,0,superstore,sdv_eval,accuracy,0.8802172408578868
trtr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.9141061452513967
trtr,GANBLR,150,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,0,credit_risk,adaboost,accuracy,0.821054469273743
tstr,GANBLR,150,0,credit_risk,random_forest,accuracy,0.8187849162011173
tstr,GANBLR,150,0,credit_risk,svm,accuracy,0.8065642458100558
sdv_eval,GANBLR,150,0,credit_risk,sdv_eval,accuracy,0.7536725363929342
trtr,GANBLR,150,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,150,1,superstore,random_forest,accuracy,0.9664832416208105
trtr,GANBLR,150,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,150,1,superstore,adaboost,accuracy,0.8354177088544272
tstr,GANBLR,150,1,superstore,random_forest,accuracy,0.9349674837418709
tstr,GANBLR,150,1,superstore,svm,accuracy,0.9229614807403702
sdv_eval,GANBLR,150,1,superstore,sdv_eval,accuracy,0.9106014354857651
trtr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.914804469273743
trtr,GANBLR,150,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,150,1,credit_risk,adaboost,accuracy,0.6644553072625698
tstr,GANBLR,150,1,credit_risk,random_forest,accuracy,0.8240223463687151
tstr,GANBLR,150,1,credit_risk,svm,accuracy,0.760300279329609
sdv_eval,GANBLR,150,1,credit_risk,sdv_eval,accuracy,0.755898635743931
