TIME: 03:02:33EPOCHS: 100, K: 1, GENERATOR LOSS: 1.157, GENERATOR ACCURACY: 0.982, DISCRIMINATOR LOSS: 2.692, DISCRIMINATOR ACCURACY: 0.510, SHAPE: (9994, 11) 
TIME: 03:02:51EPOCHS: 100, K: 1, GENERATOR LOSS: 1.083, GENERATOR ACCURACY: 0.983, DISCRIMINATOR LOSS: 2.724, DISCRIMINATOR ACCURACY: 0.462, SHAPE: (9994, 11) 
TIME: 03:03:09EPOCHS: 100, K: 1, GENERATOR LOSS: 2.474, GENERATOR ACCURACY: 0.983, DISCRIMINATOR LOSS: 5.178, DISCRIMINATOR ACCURACY: 0.507, SHAPE: (9994, 11) 
TIME: 03:03:27EPOCHS: 100, K: 1, GENERATOR LOSS: inf, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 9.445, DISCRIMINATOR ACCURACY: 0.502, SHAPE: (9994, 11) 
TIME: 03:03:46EPOCHS: 100, K: 1, GENERATOR LOSS: 0.892, GENERATOR ACCURACY: 0.983, DISCRIMINATOR LOSS: 1.255, DISCRIMINATOR ACCURACY: 0.485, SHAPE: (9994, 11) 
TIME: 03:04:04EPOCHS: 100, K: 1, GENERATOR LOSS: 1.056, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 2.416, DISCRIMINATOR ACCURACY: 0.478, SHAPE: (9994, 11) 
TIME: 03:04:22EPOCHS: 100, K: 1, GENERATOR LOSS: 1.082, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 2.870, DISCRIMINATOR ACCURACY: 0.537, SHAPE: (9994, 11) 
TIME: 03:04:41EPOCHS: 100, K: 1, GENERATOR LOSS: 1.158, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 3.338, DISCRIMINATOR ACCURACY: 0.516, SHAPE: (9994, 11) 
TIME: 03:04:59EPOCHS: 100, K: 1, GENERATOR LOSS: inf, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 8.068, DISCRIMINATOR ACCURACY: 0.509, SHAPE: (9994, 11) 
TIME: 03:05:17EPOCHS: 100, K: 1, GENERATOR LOSS: 0.883, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 4.091, DISCRIMINATOR ACCURACY: 0.471, SHAPE: (9994, 11) 
TIME: 03:05:35EPOCHS: 100, K: 1, GENERATOR LOSS: 1.093, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 2.931, DISCRIMINATOR ACCURACY: 0.516, SHAPE: (9994, 11) 
TIME: 03:05:54EPOCHS: 100, K: 1, GENERATOR LOSS: inf, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 7.064, DISCRIMINATOR ACCURACY: 0.507, SHAPE: (9994, 11) 
TIME: 03:06:12EPOCHS: 100, K: 1, GENERATOR LOSS: 1.160, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 2.648, DISCRIMINATOR ACCURACY: 0.490, SHAPE: (9994, 11) 
TIME: 03:06:30EPOCHS: 100, K: 1, GENERATOR LOSS: 1.055, GENERATOR ACCURACY: 0.984, DISCRIMINATOR LOSS: 1.804, DISCRIMINATOR ACCURACY: 0.518, SHAPE: (9994, 11) 
TIME: 03:06:49EPOCHS: 100, K: 1, GENERATOR LOSS: 1.056, GENERATOR ACCURACY: 0.985, DISCRIMINATOR LOSS: 3.796, DISCRIMINATOR ACCURACY: 0.513, SHAPE: (9994, 11) 
