Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.966983491745873
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.1485742871435718
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9294647323661831
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.895819236657864
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9132332402234636
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8496857541899442
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8282122905027933
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7969622905027933
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.792672344150294
