Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,adaboost,accuracy,0.7663831915957979
tstr,GANBLR,25,1,superstore,random_forest,accuracy,0.950975487743872
tstr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,1,superstore,sdv_eval,quality_score,0.4437329064108992
trtr,GANBLR,25,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,25,1,superstore,random_forest,accuracy,0.9634817408704353
trtr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,random_forest,accuracy,0.9489744872436218
tstr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,1,superstore,sdv_eval,quality_score,0.4442946070672707
trtr,GANBLR,25,1,superstore,adaboost,accuracy,0.9104552276138068
trtr,GANBLR,25,1,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,adaboost,accuracy,0.928464232116058
tstr,GANBLR,25,1,superstore,random_forest,accuracy,0.9549774887443722
tstr,GANBLR,25,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,25,1,superstore,sdv_eval,quality_score,0.4432595163159765
trtr,CTGAN,25,0,superstore,adaboost,accuracy,0.9104552276138068
trtr,CTGAN,25,0,superstore,random_forest,accuracy,0.9649824912456229
trtr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
tstr,CTGAN,25,0,superstore,adaboost,accuracy,0.9269634817408704
tstr,CTGAN,25,0,superstore,random_forest,accuracy,0.927463731865933
tstr,CTGAN,25,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,CTGAN,25,0,superstore,sdv_eval,quality_score,0.7555612913202466
trtr,CTGAN,25,0,superstore,adaboost,accuracy,0.9104552276138068
