Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9644822411205602
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.888944472236118
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9304652326163082
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.893219079446814
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9146298882681564
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8400837988826816
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.830481843575419
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.7925977653631285
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.7942562950315062
