Event,Model,Epochs,K,Dataset,Test,Metric,Value
trtr,GANBLR,10,0,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,0,superstore,random_forest,accuracy,0.9659829914957478
trtr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,0,superstore,adaboost,accuracy,0.7238619309654828
tstr,GANBLR,10,0,superstore,random_forest,accuracy,0.9289644822411206
tstr,GANBLR,10,0,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,0,superstore,sdv_eval,quality_score,0.8928823708292722
trtr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.9141061452513967
trtr,GANBLR,10,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,0,credit_risk,adaboost,accuracy,0.8428770949720671
tstr,GANBLR,10,0,credit_risk,random_forest,accuracy,0.8346717877094972
tstr,GANBLR,10,0,credit_risk,svm,accuracy,0.8032472067039106
sdv_eval,GANBLR,10,0,credit_risk,sdv_eval,quality_score,0.793548251893701
trtr,GANBLR,10,0,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,0,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,0,mushrooms,adaboost,accuracy,0.9403076923076923
tstr,GANBLR,10,0,mushrooms,random_forest,accuracy,0.8695384615384616
tstr,GANBLR,10,0,mushrooms,svm,accuracy,0.6935384615384615
sdv_eval,GANBLR,10,0,mushrooms,sdv_eval,quality_score,0.8151063408065713
trtr,GANBLR,10,1,superstore,adaboost,accuracy,0.9104552276138069
trtr,GANBLR,10,1,superstore,random_forest,accuracy,0.9639819909954978
trtr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
tstr,GANBLR,10,1,superstore,adaboost,accuracy,0.8629314657328664
tstr,GANBLR,10,1,superstore,random_forest,accuracy,0.9354677338669335
tstr,GANBLR,10,1,superstore,svm,accuracy,0.928464232116058
sdv_eval,GANBLR,10,1,superstore,sdv_eval,quality_score,0.9127145334250953
trtr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.9149790502793296
trtr,GANBLR,10,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,10,1,credit_risk,adaboost,accuracy,0.8542248603351955
tstr,GANBLR,10,1,credit_risk,random_forest,accuracy,0.8533519553072626
tstr,GANBLR,10,1,credit_risk,svm,accuracy,0.8111033519553073
sdv_eval,GANBLR,10,1,credit_risk,sdv_eval,quality_score,0.8349725281499749
trtr,GANBLR,10,1,mushrooms,adaboost,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,random_forest,accuracy,1.0
trtr,GANBLR,10,1,mushrooms,svm,accuracy,0.9926153846153846
tstr,GANBLR,10,1,mushrooms,adaboost,accuracy,0.9544615384615385
tstr,GANBLR,10,1,mushrooms,random_forest,accuracy,0.984
tstr,GANBLR,10,1,mushrooms,svm,accuracy,0.9396923076923077
sdv_eval,GANBLR,10,1,mushrooms,sdv_eval,quality_score,0.8796073301340717
