Event,Model,Epochs,K,Dataset,Test,Metric,Value
tstr,GANBLR,25,0,credit_risk,random_forest,accuracy,0.8165153631284916
tstr,GANBLR,25,0,credit_risk,svm,accuracy,0.789804469273743
sdv_eval,GANBLR,25,0,credit_risk,sdv_eval,quality_score,0.3885111326971792
trtr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.9158519553072626
trtr,GANBLR,25,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8379888268156425
tstr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.8502094972067039
tstr,GANBLR,25,1,credit_risk,svm,accuracy,0.8175628491620112
sdv_eval,GANBLR,25,1,credit_risk,sdv_eval,quality_score,0.4297101012217291
trtr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.9153282122905028
trtr,GANBLR,25,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8439245810055865
tstr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.849336592178771
tstr,GANBLR,25,1,credit_risk,svm,accuracy,0.8207053072625698
sdv_eval,GANBLR,25,1,credit_risk,sdv_eval,quality_score,0.4284301479068921
trtr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.9167248603351956
trtr,GANBLR,25,1,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,25,1,credit_risk,adaboost,accuracy,0.85143156424581
tstr,GANBLR,25,1,credit_risk,random_forest,accuracy,0.8589385474860335
tstr,GANBLR,25,1,credit_risk,svm,accuracy,0.821927374301676
sdv_eval,GANBLR,25,1,credit_risk,sdv_eval,quality_score,0.428501440129347
trtr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.9137569832402236
trtr,CTGAN,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.7669343575418994
tstr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.7704259776536313
tstr,CTGAN,25,0,credit_risk,svm,accuracy,0.7774092178770949
sdv_eval,CTGAN,25,0,credit_risk,sdv_eval,quality_score,0.8418237211841861
trtr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.9134078212290504
trtr,CTGAN,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.7744413407821229
tstr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.7693784916201117
tstr,CTGAN,25,0,credit_risk,svm,accuracy,0.7758379888268156
sdv_eval,CTGAN,25,0,credit_risk,sdv_eval,quality_score,0.834210002814654
trtr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.9158519553072626
trtr,CTGAN,25,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,CTGAN,25,0,credit_risk,adaboost,accuracy,0.7674581005586593
tstr,CTGAN,25,0,credit_risk,random_forest,accuracy,0.7534916201117319
tstr,CTGAN,25,0,credit_risk,svm,accuracy,0.7569832402234636
sdv_eval,CTGAN,25,0,credit_risk,sdv_eval,quality_score,0.8256921033083824
trtr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.9158519553072626
trtr,GANBLR,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8313547486033519
tstr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.828736033519553
tstr,GANBLR,50,0,credit_risk,svm,accuracy,0.8105796089385475
sdv_eval,GANBLR,50,0,credit_risk,sdv_eval,quality_score,0.3738269188850583
trtr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.9149790502793296
trtr,GANBLR,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8241969273743017
tstr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.8322276536312849
tstr,GANBLR,50,0,credit_risk,svm,accuracy,0.7939944134078212
sdv_eval,GANBLR,50,0,credit_risk,sdv_eval,quality_score,0.374889556575603
trtr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8758729050279329
trtr,GANBLR,50,0,credit_risk,random_forest,accuracy,0.9167248603351956
trtr,GANBLR,50,0,credit_risk,svm,accuracy,0.8847765363128491
tstr,GANBLR,50,0,credit_risk,adaboost,accuracy,0.8245460893854749
